Host family,Host genus,Species,Conservation Status,Parasite type,Type Parasite Detailled,EEO,Parasite Family,Parasite genus,Parasite species,Host,region,reference,Sample from
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,170182,strongylidae,Lemurostrongylus,sp.,Eulemur_fulvus,,"Junge and Sauther, 2006",
Lemuridae,Varecia,rubra,CR,helminth,nematode,6423,strongylidae,Lemurostrongylus,sp.,Varecia_rubra,Masoala,"Dutton et al., in press",Biomedical
Lemuridae,Varecia,variegata,CR,helminth,nematode,99202,strongylidae,Lemurostrongylus,sp.,Varecia_variegata_variegata,,"Faulkner et al., 2004",
Lemuridae,Eulemur,rubriventer,VU,helminth,nematode,142826,strongylidae,Lemurostrongylus,sp.,Eulemur_rubriventer,,"Hogg, 2002",
Lemuridae,Eulemur,rubriventer,VU,helminth,trematode,142826,Fasciolidae,Fasciola,,Eulemur_rubriventer,,,
Lemuridae,Prolemur,simus,CR,helminth,nematode,30552,strongylidae,Lemurostrongylus,sp.,Prolemur_simus,,"Hogg, 2002",
Lemuridae,Hapalemur,aureus,CR,helminth,nematode,4385,strongylidae,Lemurostrongylus,sp.,Hapalemur_aureus,,"Hogg, 2002",
Lemuridae,Varecia,variegata,CR,helminth,nematode,99202,Tristrongylidae,Pararhabdonema,longistriata,Varecia_variegata_variegata,,"Chabau et al., 1965",
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,170182,Tristrongylidae,Pararhabdonema,longistriata,Eulemur_fulvus,,"Chabau et al., 1965",
Lemuridae,Eulemur,albifrons,VU,helminth,nematode,49901,Tristrongylidae,Pararhabdonema,longistriata,Eulemur_albifrons,,"Chabau et al., 1965",
Lemuridae,Lemur,catta,EN,helminth,nematode,115083,Coccidia,Coccidia,sp.,Lemur_catta,Bezaha Mahafaly,"loudon and Sauther, 2013",
Lemuridae,Lemur,catta,EN,helminth,nematode,115083,Oxyuridae,Oxyur,sp.,Lemur_catta,Bezaha Mahafaly,"loudon and Sauther, 2013",
Lemuridae,Lemur,catta,EN,helminth,nematode,115083,strongylidae,Lemurostrongylus,sp.,Lemur_catta,Bezaha Mahafaly,"loudon and Sauther, 2013",
Lemuridae,Lemur,catta,EN,helminth,nematode,115083,Tristrongylidae,Tristrongyloides,,Lemur_catta,Bezaha Mahafaly,"loudon and Sauther, 2013",
Lemuridae,Lemur,catta,EN,helminth,nematode,115083,Subuluridae,Subulura,sp.,Lemur_catta,Bezaha Mahafaly,"loudon and Sauther, 2013",
Lemuridae,Lemur,catta,EN,helminth,nematode,115083,Trichuridae,Trichuris,sp.,Lemur_catta,Bezaha Mahafaly,"loudon and Sauther, 2013",
Lemuridae,Eulemur,ruffifrons,VU,helminth,nematode,138438,Trichuridae,Trichuris,sp.,Eulemur_rufifrons,Tsiombokibo Classified Forest,"Junge et al., 2005",Biomedical
Lemuridae,Eulemur,rubriventer,VU,helminth,nematode,142826,,,,Eulemur_rubriventer,,"Hogg, 2002",
Lemuridae,Varecia,variegata,CR,helminth,nematode,99202,Oxyuridae,Callistoura,,Varecia_variegata_variegata,Ranomafana,"noromalala, 2022",
Lemuridae,Varecia,variegata,CR,helminth,nematode,99202,Strongylidae,Strongyloides,,Varecia_variegata_variegata,Ranomafana,"noromalala, 2022",
Lemuridae,Varecia,variegata,CR,helminth,nematode,99202,Oxyuridae,Callistoura,,Varecia_variegata_variegata,,"faulkner et al., 2004",
Lemuridae,Varecia,variegata,CR,protozoa,protozoan,99202,coccidia,coccidia,,Varecia_variegata_variegata,Ranomafana,"noromalala, 2022",
Lemuridae,Varecia,variegata,CR,protozoa,protozoan,99202,Balantidiidae,Balantidium,sp.,Varecia_variegata_variegata,Ranomafana,"noromalala, 2022",
