Host family,Host genus,Species,Conservation Status,Parasite type,Type Parasite Detailled,EEO,Parasite Family,Parasite genus,Parasite species,Host,region,reference,Sample from
Indriidae,Propithecus,verreauxi,CR,helminth,nematode,131892,Oxyuridae,Lemuricola ,tricuroides,Propithecus_verreauxi,,"Loudon, J.E. 2009. The parasite ecology and socioecology of Ring-tailed Lemurs (Lemur catta) and Verreaux's Sifaka (Propithecus verreauxi) (Inhabiting the Beza Mahafaly Special Reserve [thesis]. University of Colorado.",
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,170182,Oxyuridae,Lemuricola ,vauceli,Eulemur_fulvus,,"Chabaud, A. G., Brygoo E. R., and A.J. Petter. 1965. Les nematodes parasites de Lemuriens malgaches. VI. Description de six especes nouvelles et conclusions generales. Annales de Parasitologie 40 (2): 181-214.",
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,170182,Oxyuridae,Lemuricola ,vauceli,Eulemur_fulvus,,"Chabaud, A. G., Brygoo E. R., and A.J. Petter. 1965. Les nematodes parasites de Lemuriens malgaches. VI. Description de six especes nouvelles et conclusions generales. Annales de Parasitologie 40 (2): 181-214.",
Lemuridae,Eulemur,mongoz,CR,helminth,nematode,17953,Oxyuridae,Lemuricola ,vauceli,Eulemur_mongoz,,"Chabaud, A. G., Brygoo E. R., and A.J. Petter. 1965. Les nematodes parasites de Lemuriens malgaches. VI. Description de six especes nouvelles et conclusions generales. Annales de Parasitologie 40 (2): 181-214.",
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,,Oxyuridae,Lemuricola ,vauceli,Eulemur_fulvus,,"Hugot, J. P., S. L. Gardner, and S. Morand. 1996. The Enterobiinae subfam nov (Nematoda, Oxyurida) pinworm parasites of primates and rodents. International Journal for Parasitology 26:147-159.
",
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,,Oxyuridae,Lemuricola ,vauceli,Eulemur_fulvus,,"Hugot, J. P. 1999. Primates and their pinworm parasite: the Cameron hypothesis revisited. Systematic Biology 48:523-546. ",
Lemuridae,Eulemur,rufifrons,VU,helminth,nematode,138438,Oxyuridae,Lemuricola ,vauceli,Eulemur_rufifrons,kirindy,"Clough, D. 2010. Gastro-intestinal parasites of red-fronted lemurs in Kirindy Forest, Western Madagascar. Journal of Parasitology 96: 245-251.",
Lemuridae,Eulemur,rufifrons,VU,helminth,nematode,138438,Oxyuridae,Lemuricola ,vauceli,Eulemur_rufifrons,kirindy,"Clough, D., Heistermann, M., and P. Kappeler. 2010. Host Intrinsic Determinants and Potential Consequences of Parasite Infection in Free-Ranging Red-Fronted Lemurs (Eulemur fulvus rufus). American Journal of Physical Anthropology 142:441-452",
Lemuridae,Eulemur,rufifrons,VU,helminth,nematode,138438,Oxyuridae,Lemuricola ,vauceli,Eulemur_rufifrons,kirindy,"Clough, D., Heistermann, M., and P. Kappeler. 2010. Host Intrinsic Determinants and Potential Consequences of Parasite Infection in Free-Ranging Red-Fronted Lemurs (Eulemur fulvus rufus). American Journal of Physical Anthropology 142:441-452",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,,Oxyuridae,Oxyur,sp.,Microcebus_murinus,,"Poirotte, C., & Kappeler, P. M. (2019). Hygienic personalities in wild grey mouse lemurs vary adaptively with sex. Proceedings of the Royal Society B, 286(1908), 20190863.",
